SbjNum,Area,Sex,Ethnicity,Age,Status,SchoolYrs
15910191,Rural,Female,Indigenous,23,Married,6
15910192,Rural,Male,Indigenous,16,Single,9
15910205,Urban,Female,Indigenous,19,Married,9
15910206,Urban,Male,Indigenous,24,Single,12
15910208,Rural,Female,Non-indigenous,17,Single,4
15910209,Rural,Female,Indigenous,23,Widow,9
15910252,Urban,Female,Indigenous,15,Single,9
15910253,Urban,Female,Indigenous,22,Married,2
15910255,Urban,Female,Indigenous,18,Single,10
15910256,Urban,Female,Indigenous,20,Married,6
15910266,Rural,Female,Indigenous,16,Single,6
15910267,Rural,Female,Indigenous,16,Single,8
15942775,Rural,Female,Indigenous,24,Married,0
15942776,Rural,Female,Indigenous,21,Single,9
15942777,Rural,Female,Indigenous,15,Single,6
15942778,Urban,Female,Indigenous,15,Single,9
15942780,Rural,Female,Indigenous,16,Single,6
15942781,Rural,Female,Indigenous,24,Married,6
15942782,Urban,Female,Indigenous,17,Single,12
15942783,Urban,Female,Non-indigenous,16,Single,10
15942784,Urban,Female,Indigenous,19,Single,12
15942785,Rural,Female,Indigenous,24,Single,0
15942796,Urban,Male,Indigenous,19,Single,9
15942797,Urban,Male,Indigenous,15,Single,8
15942798,Urban,Male,Non-indigenous,18,Single,12
15942799,Rural,Female,Indigenous,22,Single,6
15942800,Rural,Female,Indigenous,15,Single,6
15942808,Urban,Female,Indigenous,18,Single,12
15942809,Urban,Female,Non-indigenous,17,Married,11
15942810,Urban,Male,Non-indigenous,24,Single,12
15942811,Urban,Female,Indigenous,24,Single,12
15942812,Rural,Female,Indigenous,20,Single,11
15942813,Rural,Male,Indigenous,22,Single,9
15942814,Rural,Male,Indigenous,18,Married,0
15942843,Rural,Male,Indigenous,17,Single,6
15942844,Rural,Male,Indigenous,19,Married,5
15942845,Rural,Male,Indigenous,17,Single,7
15942853,Urban,Male,Non-indigenous,17,Single,8
15942854,Rural,Male,Indigenous,17,Single,8
15942863,Rural,Female,Indigenous,19,Single,9
15942864,Urban,Male,Non-indigenous,18,Single,12
15942865,Urban,Female,Indigenous,23,Single,12
15954570,Urban,Female,Indigenous,17,Single,11
15954571,Urban,Female,Indigenous,17,Single,8
15954572,Urban,Male,Indigenous,16,Single,9
15954573,Urban,Female,Indigenous,22,Single,4
15954574,Urban,Male,Non-indigenous,15,Single,8
15954575,Urban,Male,Indigenous,20,Single,11
15954753,Urban,Female,Indigenous,19,Single,6
15954754,Urban,Female,Indigenous,21,Married,12
15954755,Urban,Male,Indigenous,17,Single,11
15954756,Urban,Male,Indigenous,17,Single,3
15954757,Urban,Male,Indigenous,16,Single,6
15954758,Urban,Female,Non-indigenous,20,Married,7
